,datetime,open,high,low,close,volume
0,2019-09-07,10000.0,10475.54,10000.0,10307.0,17920.664
1,2019-09-10,10307.0,10450.13,9884.31,10415.13,35576.511
2,2019-09-13,10414.96,10440.55,10024.81,10302.22,60445.6
3,2019-09-16,10302.0,10353.81,10080.7,10155.16,63538.139
4,2019-09-19,10154.7,10331.62,9530.02,9983.33,73137.051
5,2019-09-22,9992.7,10089.52,7761.75,8495.83,130490.012
6,2019-09-24,8683.2,8689.49,8645.61,8645.61,10.814
7,2019-09-25,8493.32,8725.24,7700.67,8176.52,148322.7
8,2019-09-28,8178.26,8331.89,7709.01,8285.84,124199.495
9,2019-10-01,8285.31,8499.0,8020.0,8220.27,102972.213
10,2019-10-04,8219.95,8227.42,7760.0,7852.79,100592.156
11,2019-10-07,7851.01,8700.0,7764.42,8559.77,172929.107
12,2019-10-10,8559.77,8788.0,8210.0,8300.22,151205.146
13,2019-10-13,8300.31,8456.0,8080.0,8160.01,192067.483
14,2019-10-16,8160.55,8184.0,7812.0,7943.94,204040.406
15,2019-10-19,7945.57,8334.57,7852.12,8201.74,216616.826
16,2019-10-22,8201.0,8290.0,7172.76,7411.35,244710.553
17,2019-10-25,7410.07,10408.48,7359.0,9533.32,576824.106
18,2019-10-28,9534.37,9930.13,8975.72,9165.3,378767.847
19,2019-10-31,9163.4,9438.64,8933.0,9287.8,242695.048
20,2019-11-03,9288.96,9550.0,9073.0,9313.2,279784.305
21,2019-11-06,9313.1,9450.0,8669.85,8775.03,303008.64
22,2019-11-09,8775.6,9187.0,8611.11,8728.93,271319.351
23,2019-11-12,8729.89,8889.06,8552.12,8642.25,253206.352
24,2019-11-15,8642.47,8780.0,8355.78,8504.04,266411.803
25,2019-11-18,8504.13,8504.71,8000.0,8094.05,321683.552
26,2019-11-21,8094.57,8131.51,6762.73,7305.99,691146.451
27,2019-11-24,7306.19,7386.29,6510.19,7150.0,711626.086
28,2019-11-27,7149.97,7850.0,6850.0,7736.66,658662.789
29,2019-11-30,7737.23,7800.0,7137.74,7291.0,482224.597
30,2019-12-03,7291.74,7800.0,7070.0,7384.99,535894.059
31,2019-12-06,7384.66,7616.91,7295.73,7508.2,303807.827
32,2019-12-09,7507.87,7676.48,7117.74,7205.77,360423.697
33,2019-12-12,7206.78,7298.0,7007.86,7061.34,318610.45
34,2019-12-15,7060.79,7196.0,6550.0,6618.96,371942.412
35,2019-12-18,6618.96,7479.99,6427.0,7184.39,573788.725
36,2019-12-21,7184.39,7691.0,7108.0,7314.01,389437.047
37,2019-12-24,7314.03,7438.8,7123.19,7197.46,380019.609
38,2019-12-27,7197.84,7527.0,7078.89,7383.67,306121.466
39,2019-12-30,7383.68,7400.0,7141.0,7197.57,240380.128
40,2020-01-02,7197.57,7407.28,6863.44,7350.71,416375.168
41,2020-01-05,7350.54,8215.33,7303.0,8152.49,566725.451
42,2020-01-08,8150.9,8468.42,7670.0,8207.09,762272.205
43,2020-01-11,8207.2,8292.19,7956.28,8113.0,347953.043
44,2020-01-14,8112.99,8921.2,8109.02,8725.08,696370.781
45,2020-01-17,8724.99,9205.3,8440.91,8705.85,545740.893
46,2020-01-20,8705.98,8820.0,8448.6,8684.57,327044.324
47,2020-01-23,8684.47,8694.0,8247.0,8344.64,405154.169
48,2020-01-26,8344.37,9436.06,8300.0,9398.98,534601.79
49,2020-01-29,9399.72,9599.0,9210.42,9364.51,506242.205
50,2020-02-01,9364.5,9647.61,9160.01,9300.64,416492.647
51,2020-02-04,9300.63,9884.0,9105.0,9778.12,560711.966
52,2020-02-07,9777.97,10184.34,9680.55,10167.38,402415.049
53,2020-02-10,10167.37,10479.98,9729.36,10339.99,534036.81
54,2020-02-13,10339.64,10540.0,9752.3,9914.99,496174.59
55,2020-02-16,9914.31,10270.0,9461.89,10174.32,493005.504
56,2020-02-19,10174.53,10286.0,9293.07,9681.39,429555.802
57,2020-02-22,9681.39,10018.9,9487.38,9662.95,313519.576
58,2020-02-25,9662.88,9686.78,8533.9,8828.0,636285.385
59,2020-02-28,8827.12,8908.86,8409.0,8537.84,473923.711
60,2020-03-02,8537.84,8972.0,8504.95,8756.93,425880.209
61,2020-03-05,8755.98,9204.0,8755.98,8897.18,402657.205
62,2020-03-08,8895.62,8897.71,7635.21,7897.66,828874.837
63,2020-03-11,7898.21,7988.0,3621.81,5570.26,1940773.643
64,2020-03-14,5569.84,5954.47,4413.62,5026.26,1294110.143
65,2020-03-17,5027.11,6400.0,4913.49,6159.6,1331304.991
66,2020-03-20,6159.41,6911.0,5650.0,5810.17,1350580.46
67,2020-03-23,5810.3,6960.71,5670.0,6673.41,1328399.182
68,2020-03-26,6673.57,6840.0,6004.0,6230.95,881403.332
69,2020-03-29,6231.81,6606.15,5850.0,6407.1,901180.561
70,2020-04-01,6407.1,7290.0,6140.0,6729.8,1333795.957
71,2020-04-04,6729.8,7370.0,6629.99,7325.73,1020405.278
72,2020-04-07,7325.73,7457.0,7070.43,7278.65,1045810.196
73,2020-04-10,7278.83,7290.0,6741.0,6900.52,985901.119
74,2020-04-13,6900.19,6975.6,6558.0,6616.89,983536.889
75,2020-04-16,6616.88,7290.0,6465.33,7242.42,1063015.375
76,2020-04-19,7242.49,7258.42,6735.95,6838.0,950104.623
77,2020-04-22,6838.0,7802.38,6812.57,7504.11,1057370.578
78,2020-04-25,7504.62,7795.6,7433.0,7774.0,803524.912
79,2020-04-28,7774.0,9479.77,7662.49,8624.76,2033062.041
80,2020-05-01,8623.61,9200.0,8619.84,8900.0,1164912.827
81,2020-05-04,8899.99,9405.0,8526.0,9148.27,1357809.237
82,2020-05-07,9148.29,10080.0,9022.0,9550.67,1608896.387
83,2020-05-10,9550.25,9580.0,7940.0,8808.71,2017790.036
84,2020-05-13,8808.71,9950.0,8790.04,9310.73,1486354.534
85,2020-05-16,9311.21,9958.67,9210.03,9731.1,952359.911
86,2020-05-19,9731.11,9900.0,8812.2,9060.0,1172176.628
87,2020-05-22,9060.0,9300.0,8674.0,8711.37,817241.111
88,2020-05-25,8711.37,9230.0,8623.38,9197.32,850853.262
89,2020-05-28,9197.32,9753.0,9110.97,9695.0,821337.731
90,2020-05-31,9694.38,10497.25,9264.15,9514.9,907738.33
91,2020-06-03,9514.9,9884.0,9382.33,9617.29,687007.773
92,2020-06-06,9616.64,9823.13,9373.0,9778.87,568599.435
93,2020-06-09,9778.87,10015.99,9055.07,9278.03,802097.581
94,2020-06-12,9277.72,9550.0,9238.0,9339.61,469038.938
95,2020-06-15,9339.7,9595.0,8888.43,9458.45,867056.364
96,2020-06-18,9458.45,9483.85,9165.0,9354.04,532321.596
97,2020-06-21,9353.84,9795.0,9273.0,9631.66,535834.704
98,2020-06-24,9631.65,9678.0,9005.0,9159.99,822365.423
99,2020-06-27,9159.99,9233.0,8816.4,9189.48,568343.581
100,2020-06-30,9189.99,9293.0,8936.0,9087.72,535859.536
101,2020-07-03,9087.72,9194.0,8900.0,9071.86,336708.342
102,2020-07-06,9071.87,9470.0,9058.1,9436.08,497720.804
103,2020-07-09,9436.08,9440.81,9121.42,9233.5,404182.251
104,2020-07-12,9233.5,9349.0,9116.0,9254.17,393663.819
105,2020-07-15,9254.17,9272.56,9044.02,9151.69,333137.742
106,2020-07-18,9151.7,9239.59,9108.0,9161.13,211217.866
107,2020-07-21,9161.28,9678.32,9152.62,9604.41,472800.396
108,2020-07-24,9604.41,10300.0,9470.0,9939.69,529351.443
109,2020-07-27,9939.68,11488.0,9928.61,11113.03,1600427.84
110,2020-07-30,11113.01,11887.45,10826.55,11811.42,924050.361
111,2020-08-02,11811.43,12154.25,10490.0,11200.05,931502.876
112,2020-08-05,11200.06,11920.0,11103.0,11596.06,773904.733
113,2020-08-08,11596.26,12100.0,11384.9,11896.89,570588.78
114,2020-08-11,11896.86,11944.0,11127.0,11790.0,798875.854
115,2020-08-14,11790.0,11993.58,11644.6,11921.23,547016.667
116,2020-08-17,11921.32,12499.42,11574.78,11763.87,936052.066
117,2020-08-20,11763.88,11888.0,11385.06,11670.47,452784.31
118,2020-08-23,11670.48,11831.96,11130.0,11327.17,471623.929
119,2020-08-26,11327.18,11593.0,11130.82,11526.85,553560.993
120,2020-08-29,11526.85,11784.21,11419.34,11658.11,324254.279
121,2020-09-01,11658.11,12061.07,9901.16,10141.08,979905.529
122,2020-09-04,10141.4,10635.77,9808.58,10258.13,1022078.777
123,2020-09-07,10258.13,10443.79,9842.01,10219.29,727501.96
124,2020-09-10,10219.29,10484.6,10200.8,10438.28,421026.213
125,2020-09-13,10438.29,10923.42,10209.01,10776.78,611939.309
126,2020-09-16,10776.88,11089.08,10661.9,10926.29,575393.731
127,2020-09-19,10926.3,11177.0,10281.0,10414.73,609736.939
128,2020-09-22,10414.73,10837.27,10132.21,10724.92,624574.801
129,2020-09-25,10724.91,10827.8,10551.56,10768.0,403711.98
130,2020-09-28,10768.0,11024.0,10627.19,10773.0,466827.812
131,2020-10-01,10773.0,10935.14,10371.03,10537.96,554682.57
132,2020-10-04,10537.96,10792.0,10510.66,10593.65,406396.492
133,2020-10-07,10593.65,11110.0,10523.0,11050.47,468976.201
134,2020-10-10,11050.46,11732.0,11050.46,11530.36,599938.291
135,2020-10-13,11530.37,11649.48,11250.0,11502.0,607312.484
136,2020-10-16,11502.0,11538.92,11175.0,11501.1,400704.242
137,2020-10-19,11501.5,13240.0,11404.01,12796.07,1134936.519
138,2020-10-22,12796.06,13188.27,12675.5,13110.88,757040.823
139,2020-10-25,13110.88,13787.83,12715.0,13629.38,934025.454
140,2020-10-28,13629.89,13863.0,12876.0,13549.12,1182236.698
141,2020-10-31,13549.12,14140.0,13195.0,13540.54,884240.229
142,2020-11-03,13541.55,15777.0,13276.33,15598.75,1517653.627
143,2020-11-06,15598.74,15984.2,14350.0,15473.2,1307579.134
144,2020-11-09,15473.2,16000.0,14822.0,15690.24,1049028.33
145,2020-11-12,15690.24,16479.99,15437.7,16064.51,1044622.422
